Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
MT,904265,2018,216390.69999999998,1491.0,299068.2,377464.7999999999,4315.599999999999,44.997540510942166,387.0,735.0
PA,1245956,2018,264100.39999999997,2697.0999999999985,683907.9999999999,73465.00000000001,43907.1,65.83858641307428,827.0,1080.0
RO,238601,2018,91726.99999999997,1249.5999999999995,120058.40000000001,24614.699999999997,1807.1000000000001,29.353224709950343,338.0,429.0
RR,226216,2018,10756.300000000001,131.79999999999998,41480.5,61222.00000000001,1723.1999999999998,1.1910814773133491,0.0,123.0
TO,271812,2018,28748.1,23.099999999999998,9803.1,231751.7999999999,1483.5999999999997,29.505978407596732,164.0,569.0
AC,170884,2019,24033.1,737.9,146563.9,74.4,117.6,5.891296372566219,277.0,
AM,1492410,2019,39639.5,1577.1000000000006,1289308.1000000003,46233.69999999998,47160.400000000016,3.039844112721861,142.0,
AP,135836,2019,2839.3,37.0,91533.9,22983.399999999998,3413.7000000000003,0.5047949861032508,0.0,
MA,263942,2019,106494.00000000007,283.80000000000007,39372.39999999998,112558.60000000006,4078.8999999999996,95.66842854619155,1642.0,
MT,904265,2019,218295.20000000004,1905.0,304178.39999999985,377464.7999999999,4315.599999999999,45.23371338847085,735.0,
PA,1245956,2019,268567.2,4466.199999999999,838232.8999999994,73465.00000000001,43907.1,66.18837297045408,1080.0,
RO,238601,2019,93156.89999999998,1429.8000000000002,119022.30000000002,24614.699999999997,1807.1000000000001,29.615068274094888,429.0,
RR,226216,2019,11311.099999999997,554.8000000000002,143764.0,61222.00000000001,1723.1999999999998,1.2344944113370875,123.0,
TO,271812,2019,28778.899999999998,30.9,9817.900000000003,231751.7999999999,1483.5999999999997,29.547436446216604,569.0,
