,Municipio,CodIbge,Estado,Ano,Notificações de 1o Sintoma
357,Diamantino,510350,MT,2008,66.0
358,Dom Aquino,510360,MT,2008,2.0
359,Feliz Natal,510370,MT,2008,9.0
360,Figueirópolis D'Oeste,510380,MT,2008,2.0
361,Gaúcha do Norte,510385,MT,2008,19.0
362,General Carneiro,510390,MT,2008,21.0
363,Glória D'Oeste,0,MT,2008,
364,Guarantã do Norte,510410,MT,2008,42.0
365,Guiratinga,510420,MT,2008,5.0
366,Indiavaí,510450,MT,2008,2.0
367,Ipiranga do Norte,510452,MT,2008,4.0
368,Itanhangá,510454,MT,2008,6.0
369,Itaúba,510455,MT,2008,22.0
370,Itiquira,0,MT,2008,
371,Jaciara,510480,MT,2008,5.0
372,Jangada,510490,MT,2008,2.0
373,Jauru,510500,MT,2008,35.0
374,Juara,510510,MT,2008,9.0
375,Juruena,510517,MT,2008,5.0
376,Juscimeira,510520,MT,2008,5.0
377,Juína,510515,MT,2008,37.0
378,Lambari D'Oeste,0,MT,2008,
379,Lucas do Rio Verde,510525,MT,2008,160.0
380,Luciara,510530,MT,2008,1.0
381,Marcelândia,510558,MT,2008,346.0
382,Matupá,510560,MT,2008,213.0
383,Mirassol d'Oeste,510562,MT,2008,2.0
384,Município ignorado - MT,0,MT,2008,
385,Nobres,510590,MT,2008,6.0
386,Nortelândia,510600,MT,2008,2.0
387,Nossa Senhora do Livramento,510610,MT,2008,3.0
388,Nova Bandeirantes,510615,MT,2008,20.0
389,Nova Brasilândia,510620,MT,2008,2.0
390,Nova Canaã do Norte,510621,MT,2008,235.0
391,Nova Guarita,0,MT,2008,
392,Nova Lacerda,510618,MT,2008,2.0
393,Nova Marilândia,510885,MT,2008,1.0
394,Nova Maringá,510890,MT,2008,3.0
395,Nova Monte Verde,510895,MT,2008,2.0
396,Nova Mutum,510622,MT,2008,46.0
397,Nova Nazaré,0,MT,2008,
398,Nova Olímpia,510623,MT,2008,9.0
399,Nova Santa Helena,510619,MT,2008,49.0
400,Nova Ubiratã,510624,MT,2008,1.0
401,Nova Xavantina,510625,MT,2008,13.0
402,Novo Horizonte do Norte,0,MT,2008,
403,Novo Mundo,510626,MT,2008,6.0
404,Novo Santo Antônio,0,MT,2008,
405,Novo São Joaquim,510628,MT,2008,6.0
406,Paranatinga,510630,MT,2008,41.0
407,Paranaíta,510629,MT,2008,80.0
408,Pedra Preta,510637,MT,2008,20.0
409,Peixoto de Azevedo,510642,MT,2008,40.0
410,Planalto da Serra,510645,MT,2008,3.0
411,Poconé,510650,MT,2008,10.0
412,Pontal do Araguaia,510665,MT,2008,92.0
413,Ponte Branca,0,MT,2008,
414,Pontes e Lacerda,510675,MT,2008,227.0
415,Porto Alegre do Norte,510677,MT,2008,8.0
416,Porto Esperidião,510682,MT,2008,5.0
417,Porto Estrela,510685,MT,2008,6.0
418,Porto dos Gaúchos,510680,MT,2008,3.0
419,Poxoréo,510700,MT,2008,5.0
420,Primavera do Leste,510704,MT,2008,6.0
421,Querência,510706,MT,2008,19.0
422,Reserva do Cabaçal,510715,MT,2008,1.0
423,Ribeirão Cascalheira,510718,MT,2008,25.0
424,Ribeirãozinho,510719,MT,2008,104.0
425,Rio Branco,510720,MT,2008,11.0
426,Rondolândia,510757,MT,2008,3.0
427,Rondonópolis,510760,MT,2008,41.0
428,Rosário Oeste,510770,MT,2008,45.0
429,Salto do Céu,510775,MT,2008,3.0
430,Santa Carmem,510724,MT,2008,34.0
431,Santa Cruz do Xingu,510774,MT,2008,82.0
432,Santa Rita do Trivelato,510776,MT,2008,3.0
433,Santa Terezinha,510777,MT,2008,1.0
434,Santo Afonso,510726,MT,2008,19.0
435,Santo Antônio do Leste,0,MT,2008,
436,Santo Antônio do Leverger,510780,MT,2008,10.0
437,Sapezal,510787,MT,2008,9.0
438,Serra Nova Dourada,510788,MT,2008,2.0
439,Sinop,510790,MT,2008,190.0
440,Sorriso,510792,MT,2008,32.0
441,São Félix do Araguaia,510785,MT,2008,35.0
442,São José do Povo,510729,MT,2008,11.0
443,São José do Rio Claro,510730,MT,2008,8.0
444,São José do Xingu,510735,MT,2008,168.0
445,São José dos Quatro Marcos,510710,MT,2008,5.0
446,São Pedro da Cipa,510740,MT,2008,5.0
447,Tabaporã,0,MT,2008,
448,Tangará da Serra,510795,MT,2008,177.0
449,Tapurah,510800,MT,2008,4.0
450,Terra Nova do Norte,510805,MT,2008,114.0
451,Tesouro,0,MT,2008,
452,Torixoréu,510820,MT,2008,17.0
453,União do Sul,510830,MT,2008,2.0
454,Vale de São Domingos,510835,MT,2008,8.0
455,Vera,510850,MT,2008,1.0
456,Vila Bela da Santíssima Trindade,510550,MT,2008,33.0
457,Vila Rica,510860,MT,2008,97.0
458,Várzea Grande,510840,MT,2008,221.0
459,Água Boa,510020,MT,2008,5.0
460,Abaetetuba,150010,PA,2008,86.0
461,Abel Figueiredo,150013,PA,2008,7.0
462,Acará,150020,PA,2008,20.0
463,Afuá,150030,PA,2008,5.0
464,Alenquer,150040,PA,2008,53.0
465,Almeirim,150050,PA,2008,1.0
466,Altamira,150060,PA,2008,25.0
467,Anajás,0,PA,2008,
468,Ananindeua,150080,PA,2008,140.0
469,Anapu,150085,PA,2008,10.0
470,Augusto Corrêa,150090,PA,2008,16.0
471,Aurora do Pará,150095,PA,2008,32.0
472,Aveiro,150100,PA,2008,5.0
473,Bagre,150110,PA,2008,2.0
474,Baião,150120,PA,2008,20.0
475,Bannach,150125,PA,2008,117.0
476,Barcarena,150130,PA,2008,46.0
477,Belterra,150145,PA,2008,157.0
478,Belém,150140,PA,2008,1420.0
479,Benevides,150150,PA,2008,52.0
480,Bom Jesus do Tocantins,150157,PA,2008,86.0
481,Bonito,150160,PA,2008,6.0
482,Bragança,150170,PA,2008,97.0
483,Brasil Novo,0,PA,2008,
484,Brejo Grande do Araguaia,150175,PA,2008,14.0
485,Breu Branco,150178,PA,2008,141.0
486,Breves,150180,PA,2008,13.0
487,Bujaru,150190,PA,2008,34.0
488,Cachoeira do Arari,150200,PA,2008,1.0
489,Cachoeira do Piriá,150195,PA,2008,15.0
490,Cametá,150210,PA,2008,102.0
491,Canaã dos Carajás,150215,PA,2008,60.0
492,Capanema,150220,PA,2008,54.0
493,Capitão Poço,150230,PA,2008,21.0
494,Castanhal,150240,PA,2008,229.0
495,Chaves,0,PA,2008,
496,Colares,150260,PA,2008,1.0
497,Conceição do Araguaia,150270,PA,2008,1430.0
498,Concórdia do Pará,150275,PA,2008,19.0
499,Cumaru do Norte,150276,PA,2008,50.0
