,Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,Nuvem,NaoObservado,NaoFloresta,Hidrografia,PercDesmatado
170,-5.34123,-47.90444,Sampaio,TO,223,2008,75.1,0.1,11.6,0.0,0.3,123.4,12.6,0.33677130044843046
171,-7.3979800000000004,-45.56971,Sambaíba,MA,2509,2008,0.0,0.0,31.9,0.0,0.0,2477.1,0.0,0.0
172,-0.81267,-48.58165,Salvaterra,PA,1048,2008,104.0,0.3,179.2,31.6,0.2,433.3,299.7,0.09923664122137404
173,-15.002289999999999,-58.1721,Salto do Céu,MT,1776,2008,1341.9,1.3,382.3,0.0,0.0,51.7,0.1,0.7555743243243244
174,-0.70803,-47.351420000000005,Salinópolis,PA,219,2008,25.1,0.7,100.7,61.6,0.2,10.5,20.9,0.11461187214611873
175,-4.1998,-55.32309,Rurópolis,PA,7025,2008,1699.7,50.2,5235.8,41.5,0.2,0.0,47.8,0.24195017793594306
176,-14.8618,-56.251580000000004,Rosário Oeste,MT,7493,2008,65.4,0.3,23.6,0.0,0.0,7395.0,9.0,0.008728146269851862
177,-2.957,-44.2037,Rosário,MA,695,2008,85.2,12.2,502.9,12.0,0.5,0.0,94.4,0.12258992805755396
178,-0.21598,-61.060080000000006,Rorainópolis,RR,33847,2008,1048.7,26.6,23393.1,1182.5,9.0,7642.4,571.3,0.030983543593228354
179,-16.570970000000003,-54.71462,Rondonópolis,MT,4168,2008,826.2,0.5,270.5,0.0,0.0,3065.7,5.6,0.19822456813819578
180,-4.4814099999999994,-48.46332,Rondon do Pará,PA,8286,2008,5331.0,54.2,2955.0,0.0,0.0,0.0,0.0,0.6433743664011585
181,-10.314160000000001,-61.08724,Rondolândia,MT,12743,2008,1858.0,18.6,10807.0,0.0,1.4,52.2,24.4,0.14580554029663345
182,-11.740310000000001,-61.75168000000001,Rolim de Moura,RO,1471,2008,1319.9,3.5,151.1,0.0,0.0,0.0,0.0,0.8972807613868118
183,-7.85728,-73.21253,Rodrigues Alves,AC,3246,2008,464.8,6.1,2713.7,11.8,55.0,0.7,0.0,0.14319162045594577
184,-9.64454,-47.48905,Rio Sono,TO,6394,2008,0.0,0.0,0.0,0.0,1918.8,6392.1,0.0,0.0
185,-2.50853,-59.60122,Rio Preto da Eva,AM,5838,2008,559.6,7.1,5265.1,0.6,2.4,0.0,10.3,0.09585474477560808
186,-7.36998,-50.10481,Rio Maria,PA,4122,2008,3360.0,15.4,625.9,0.0,0.0,128.6,7.5,0.8151382823871907
187,-9.23883,-48.4489,Rio dos Bois,TO,848,2008,17.8,0.0,0.2,0.0,0.0,828.1,1.9,0.02099056603773585
