Municipio,CodIbge,Estado,Ano,Internações - Dengue
Ministro Andreazza,110120,RO,2008,8.0
Mirante da Serra,110130,RO,2008,25.0
Monte Negro,110140,RO,2008,12.0
Nova Brasilândia D'Oeste,110014,RO,2008,44.0
Nova Mamoré,110033,RO,2008,6.0
Nova União,110143,RO,2008,3.0
Novo Horizonte do Oeste,110050,RO,2008,7.0
Ouro Preto do Oeste,110015,RO,2008,100.0
Parecis,110145,RO,2008,2.0
Pimenta Bueno,110018,RO,2008,35.0
Pimenteiras do Oeste,110146,RO,2008,3.0
Porto Velho,110020,RO,2008,23.0
Primavera de Rondônia,110147,RO,2008,0.0
Rio Crespo,110026,RO,2008,0.0
Rolim de Moura,110028,RO,2008,152.0
Santa Luzia D'Oeste,110029,RO,2008,3.0
São Felipe D'Oeste,110148,RO,2008,1.0
São Francisco do Guaporé,110149,RO,2008,0.0
São Miguel do Guaporé,110032,RO,2008,33.0
Seringueiras,110150,RO,2008,0.0
Teixeirópolis,110155,RO,2008,2.0
Theobroma,110160,RO,2008,2.0
Urupá,110170,RO,2008,4.0
Vale do Anari,110175,RO,2008,0.0
Vale do Paraíso,110180,RO,2008,5.0
Vilhena,110030,RO,2008,48.0
Alto Alegre,140005,RR,2008,73.0
Amajari,140002,RR,2008,2.0
Boa Vista,140010,RR,2008,702.0
Bonfim,140015,RR,2008,27.0
Cantá,140017,RR,2008,13.0
Caracaraí,140020,RR,2008,12.0
Caroebe,140023,RR,2008,3.0
Iracema,140028,RR,2008,3.0
Mucajaí,140030,RR,2008,21.0
Normandia,140040,RR,2008,3.0
Pacaraima,140045,RR,2008,14.0
Rorainópolis,140047,RR,2008,46.0
São João da Baliza,140050,RR,2008,30.0
São Luiz,140060,RR,2008,1.0
Uiramutã,140070,RR,2008,1.0
