Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Capinzal do Norte,210275,MA,3.0,10.0,0.0,11.0,3.0,3.0,0.0,2.0,11.0,0.0,0.0,3.0
Carolina,210280,MA,35.0,1.0,14.0,27.0,13.0,51.0,48.0,31.0,34.0,21.0,10.0,1.0
Carutapera,210290,MA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
Caxias,210300,MA,19.0,20.0,21.0,39.0,25.0,11.0,6.0,7.0,27.0,4.0,0.0,10.0
Cedral,210310,MA,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,10.0,20.0
Central do Maranhão,210312,MA,0.0,9.0,6.0,1.0,0.0,15.0,43.0,29.0,16.0,0.0,0.0,0.0
Centro do Guilherme,210315,MA,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
Centro Novo do Maranhão,210317,MA,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Chapadinha,210320,MA,13.0,19.0,13.0,45.0,10.0,2.0,1.0,14.0,30.0,1.0,0.0,7.0
Cidelândia,210325,MA,31.0,20.0,23.0,51.0,0.0,1.0,3.0,4.0,3.0,4.0,10.0,18.0
Codó,210330,MA,15.0,15.0,4.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0
Coelho Neto,210340,MA,7.0,4.0,2.0,35.0,20.0,7.0,3.0,1.0,3.0,0.0,1.0,1.0
Colinas,210350,MA,0.0,3.0,0.0,2.0,4.0,5.0,1.0,13.0,200.0,44.0,7.0,140.0
Conceição do Lago-Açu,210355,MA,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Coroatá,210360,MA,8.0,6.0,6.0,24.0,17.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0
Cururupu,210370,MA,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Davinópolis,210375,MA,1.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Dom Pedro,210380,MA,9.0,2.0,3.0,34.0,92.0,42.0,11.0,29.0,42.0,6.0,1.0,10.0
Duque Bacelar,210390,MA,13.0,3.0,1.0,57.0,26.0,7.0,9.0,0.0,3.0,1.0,2.0,1.0
Esperantinópolis,210400,MA,5.0,4.0,14.0,33.0,24.0,11.0,17.0,26.0,35.0,4.0,1.0,3.0
Estreito,210405,MA,84.0,18.0,16.0,126.0,15.0,17.0,18.0,18.0,29.0,38.0,7.0,20.0
Feira Nova do Maranhão,210407,MA,3.0,6.0,25.0,74.0,38.0,31.0,14.0,3.0,6.0,9.0,2.0,63.0
Fernando Falcão,210408,MA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,44.0,5.0,0.0,1.0
Formosa da Serra Negra,210409,MA,3.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,8.0,1.0,16.0
Fortaleza dos Nogueiras,210410,MA,30.0,1.0,2.0,4.0,7.0,46.0,9.0,1.0,37.0,95.0,21.0,4.0
Fortuna,210420,MA,11.0,9.0,13.0,23.0,29.0,1.0,11.0,2.0,25.0,3.0,0.0,10.0
Godofredo Viana,210430,MA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gonçalves Dias,210440,MA,6.0,58.0,9.0,66.0,68.0,7.0,0.0,1.0,104.0,3.0,3.0,18.0
Governador Archer,210450,MA,13.0,27.0,11.0,37.0,5.0,4.0,19.0,5.0,34.0,1.0,0.0,2.0
Governador Edison Lobão,210455,MA,10.0,5.0,12.0,11.0,2.0,3.0,2.0,5.0,10.0,0.0,1.0,7.0
Governador Eugênio Barros,210460,MA,7.0,2.0,3.0,35.0,14.0,33.0,12.0,18.0,26.0,6.0,0.0,28.0
Governador Luiz Rocha,210462,MA,3.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,4.0,13.0,0.0,18.0
Governador Newton Bello,210465,MA,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,10.0,32.0
Governador Nunes Freire,210467,MA,24.0,10.0,13.0,33.0,6.0,4.0,17.0,19.0,11.0,1.0,7.0,10.0
Graça Aranha,210470,MA,45.0,25.0,15.0,30.0,46.0,27.0,9.0,112.0,189.0,204.0,0.0,6.0
Grajaú,210480,MA,12.0,0.0,6.0,8.0,10.0,13.0,14.0,48.0,175.0,8.0,3.0,11.0
Guimarães,210490,MA,0.0,1.0,9.0,87.0,103.0,17.0,12.0,32.0,16.0,0.0,0.0,0.0
Humberto de Campos,210500,MA,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
