 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210405 Estreito";-;-;1;-;-;3;2;3;1;4;-;1;2;1;-;-;1;-;2;2;3;2;3;-;2;4;2;2;6;6;2;-;1;2;1;3;2;4;3;5;4;2;5;2;5;3;1;3;4;7;3;1;2;2;-;5;4;5;1;6;3;5;1;3;1;3;2;4;4;2;5;5;6;4;1;6;1;1;4;2;4;3;4;5;3;2;3;5;3;5;2;4;3;4;3;7;4;3;3;4;2;2;4;3;-;1;3;2;2;2;4;4;2;3;5;6;4;2;4;4;3;4;2;1;4;3;4;5;5;1;3;5;4;5;2;3;1;4;4;1;4;1;3;4;3;2;3;5;-;3;2;1;1;4;5;3;9;4;5;2;3;3;2;-;473
"210407 Feira Nova do Maranhão";-;-;-;-;-;-;1;-;-;-;-;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;-;-;-;2;-;-;-;-;-;-;-;1;-;2;1;-;1;-;2;-;-;2;-;-;-;1;-;-;-;2;-;-;1;-;-;1;-;1;1;1;-;-;1;-;-;1;1;-;2;-;-;-;2;-;2;-;-;1;1;-;1;2;-;-;1;-;1;-;1;1;1;1;1;2;1;4;1;-;68
"210408 Fernando Falcão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;-;1;-;2;2;-;-;1;-;-;-;-;3;1;-;-;-;-;-;1;-;1;-;1;1;2;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;1;1;1;2;-;1;-;-;1;1;1;-;1;1;-;-;-;-;1;-;-;1;-;-;2;1;1;-;1;2;-;-;-;-;-;-;54
"210409 Formosa da Serra Negra";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;1;-;2;-;1;1;1;-;-;-;1;-;1;-;2;-;-;2;-;3;-;-;-;-;-;1;-;-;-;3;1;-;-;1;1;1;1;-;-;-;-;2;-;-;1;-;2;3;-;-;3;3;2;3;-;3;1;1;-;1;-;2;-;1;-;-;3;1;-;-;-;-;1;1;1;2;2;-;-;2;-;1;-;1;1;-;1;-;4;-;1;1;3;-;1;1;-;1;1;-;-;-;2;-;-;5;1;1;2;1;2;2;1;1;2;4;1;3;-;1;1;3;2;2;-;1;3;1;1;2;2;1;2;1;2;1;141
"210410 Fortaleza dos Nogueiras";-;-;-;-;-;1;-;-;1;-;-;2;-;-;1;1;-;1;-;1;-;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;1;-;1;-;1;3;2;-;1;1;-;-;-;-;-;-;1;1;-;1;2;1;1;-;1;-;-;1;1;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;1;-;1;2;-;-;2;-;-;1;-;1;2;2;1;2;2;2;2;-;-;-;-;-;-;2;3;2;-;1;-;3;1;1;1;1;-;2;-;1;-;2;4;-;2;-;-;2;1;1;1;1;1;-;2;4;-;-;-;1;107
"210420 Fortuna";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;1;5;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;1;1;-;-;-;1;2;2;-;2;1;-;-;-;2;-;-;4;3;-;2;-;-;1;-;2;2;1;1;2;-;1;1;-;1;3;2;2;-;4;1;3;3;-;-;1;1;1;1;-;2;1;4;4;-;2;4;2;-;3;4;2;-;2;-;3;3;2;-;1;1;1;-;-;1;-;-;-;-;1;4;1;1;-;1;2;-;2;-;3;-;-;6;1;3;-;1;-;2;-;1;3;-;1;3;2;2;2;-;2;-;1;3;1;3;2;2;3;1;1;1;4;3;1;2;3;2;-;189
"210430 Godofredo Viana";-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;1;-;1;4;-;-;-;-;-;-;1;2;1;-;-;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;2;-;-;-;-;-;-;2;-;1;2;-;1;-;2;1;-;-;-;-;-;1;1;1;-;1;-;2;1;-;1;-;-;-;1;1;-;1;1;2;2;-;1;1;-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;3;1;2;2;-;4;-;-;-;-;77
"210440 Gonçalves Dias";-;-;-;-;-;-;1;2;-;1;1;-;-;-;-;1;-;-;1;1;2;-;-;1;1;2;-;-;-;-;1;-;-;-;-;1;1;-;1;-;1;-;-;1;1;-;-;1;-;-;-;-;-;1;-;1;1;1;1;1;2;1;3;1;2;-;1;1;-;2;-;-;-;2;-;1;1;-;-;-;1;1;2;1;1;1;2;2;5;1;1;2;-;1;-;-;1;1;-;3;4;2;2;1;1;2;1;1;1;2;3;2;1;1;4;4;4;3;2;-;2;-;3;1;1;2;1;-;1;1;3;2;-;1;-;3;1;1;2;4;4;1;-;5;1;2;2;1;1;3;3;3;4;3;4;7;4;1;1;1;3;2;3;-;200
"210450 Governador Archer";-;-;-;-;-;-;1;-;1;-;3;-;-;2;1;-;-;1;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;2;-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;1;1;3;1;1;1;1;1;1;1;1;-;-;1;3;1;-;3;-;1;-;4;-;-;-;1;-;-;5;-;1;-;2;3;-;-;1;-;-;3;-;1;3;1;1;1;1;1;3;-;1;2;3;1;-;-;2;1;2;1;1;1;-;5;2;1;-;1;1;1;-;3;1;3;1;-;1;2;-;1;2;1;1;2;3;3;1;1;2;3;1;3;2;2;-;3;1;3;1;1;1;1;1;1;-;155
"210455 Governador Edison Lobão";-;-;-;-;2;-;2;1;-;2;-;-;-;1;3;1;1;-;-;2;1;1;1;-;2;2;1;1;-;2;1;-;2;2;2;-;2;3;2;1;1;1;2;-;2;2;1;2;4;1;1;-;2;1;3;1;2;2;4;1;4;3;4;2;2;-;1;1;3;-;4;2;1;2;1;1;1;1;2;2;2;4;1;2;3;2;2;1;1;2;-;2;1;1;3;2;1;-;2;1;5;2;3;3;1;4;2;3;2;6;5;6;5;1;2;-;1;3;5;2;5;1;1;-;6;3;6;3;3;1;2;1;3;4;1;1;2;2;4;1;2;4;2;4;3;5;1;3;3;2;5;-;3;7;5;3;3;1;2;4;-;-;8;1;326
"210460 Governador Eugênio Barros";-;-;-;-;-;-;3;1;5;-;2;2;-;1;1;1;2;2;2;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;1;-;-;1;-;-;-;2;-;-;-;1;1;1;1;-;-;-;1;-;2;3;-;-;1;1;-;3;1;1;1;2;1;2;3;2;1;-;3;-;-;-;-;2;2;3;1;2;2;1;-;1;2;2;1;3;4;3;1;2;1;2;-;1;2;2;2;5;4;1;2;1;-;2;1;3;5;2;1;1;1;1;2;1;4;1;2;-;-;2;2;3;6;6;2;3;2;1;4;1;1;3;3;1;-;1;1;3;-;4;3;1;1;3;6;2;1;2;3;2;1;3;1;3;3;1;1;230
"210462 Governador Luiz Rocha";-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;3;2;1;-;1;-;-;2;-;2;-;-;-;1;-;2;1;-;2;1;-;-;1;-;-;-;1;-;-;1;-;-;-;1;1;-;-;1;2;-;3;1;2;-;-;1;1;-;1;1;2;1;-;1;-;-;-;-;1;1;-;3;-;1;-;1;-;3;3;1;-;-;-;-;2;-;-;1;-;2;-;1;-;-;-;1;1;2;-;-;3;3;-;3;1;-;-;3;-;1;2;1;1;2;-;91
"210465 Governador Newton Bello";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;1;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;2;-;-;1;-;1;-;-;-;1;-;1;1;-;-;-;-;1;2;1;1;1;1;-;-;-;1;-;-;1;-;-;-;1;1;1;-;-;-;-;1;-;1;1;1;-;1;-;1;1;1;1;-;-;-;-;-;1;-;-;-;2;2;1;-;2;-;3;2;3;-;2;2;1;1;1;-;2;-;-;-;-;-;-;2;1;-;1;-;1;3;2;1;2;4;3;1;-;1;88
"210467 Governador Nunes Freire";-;-;-;-;-;1;3;4;3;2;-;1;1;2;1;2;1;-;-;-;4;4;2;3;1;1;2;1;1;5;2;6;4;3;4;2;2;1;2;1;1;4;2;-;1;2;2;3;3;3;-;3;4;4;1;4;5;3;2;5;3;6;4;3;3;4;7;4;5;4;6;3;3;7;5;1;4;2;5;12;4;5;6;1;5;7;2;7;2;6;6;4;5;6;2;6;11;5;3;9;5;2;6;5;3;7;4;3;7;8;3;3;2;-;4;4;6;3;1;5;5;3;2;12;1;1;1;4;6;5;6;4;2;2;3;5;6;3;4;4;7;3;5;2;6;3;1;2;2;3;7;7;11;5;12;4;5;5;2;7;8;5;6;4;599
"210470 Graça Aranha";-;-;-;-;-;-;1;1;2;-;1;2;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;1;1;-;1;2;-;1;1;1;-;2;3;-;1;-;-;-;-;-;1;1;-;1;2;1;-;1;-;1;1;-;-;1;1;-;2;-;1;-;-;1;1;1;-;1;-;-;1;-;-;-;1;-;-;1;-;1;1;3;1;-;2;-;1;-;2;1;-;1;2;2;-;-;1;1;1;1;-;1;-;3;-;-;-;-;3;1;1;-;1;1;2;2;1;-;1;2;3;-;3;3;-;1;-;103
"210480 Grajaú";-;-;3;1;4;3;9;7;2;4;6;3;1;5;3;4;1;3;3;4;3;9;3;5;9;4;5;5;6;4;5;2;3;8;5;1;4;3;2;3;5;4;7;5;3;2;2;4;2;4;6;5;4;7;7;7;1;2;12;8;17;11;6;5;8;12;4;11;12;6;9;6;13;6;9;9;5;14;10;8;11;19;16;7;9;15;6;5;10;14;8;12;7;17;12;13;13;10;9;7;10;19;17;7;13;10;15;10;6;12;8;8;10;11;8;16;9;15;20;12;10;18;9;8;12;8;17;9;16;20;15;11;12;7;12;8;12;9;12;12;20;12;20;11;12;15;6;12;12;9;20;18;18;13;9;13;18;16;15;12;9;15;6;2;1439
"210490 Guimarães";-;-;-;-;-;-;1;1;-;1;-;-;-;1;2;1;-;1;-;-;-;1;-;1;-;-;-;1;1;1;-;2;2;2;1;1;1;-;-;-;4;1;3;1;1;1;1;-;-;1;2;1;1;-;1;1;-;-;1;2;1;3;2;-;1;2;1;1;-;2;-;1;-;3;-;2;-;3;2;1;2;2;1;1;1;-;-;2;-;1;-;1;-;1;-;2;-;-;1;1;4;2;1;2;3;1;-;1;4;5;2;1;2;-;1;1;1;2;-;-;-;2;-;-;-;2;1;1;1;1;2;2;2;1;-;1;1;4;3;4;5;4;1;1;2;1;-;1;1;-;1;3;2;1;3;1;2;1;-;-;1;1;-;-;178
"210500 Humberto de Campos";-;-;-;-;-;-;-;1;-;-;1;1;2;1;1;-;-;2;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;3;3;1;1;1;3;5;-;-;-;1;1;3;1;1;1;1;1;2;1;-;-;-;-;-;-;-;1;1;2;-;1;-;1;-;3;1;2;1;3;1;-;3;1;2;-;-;-;-;2;3;5;2;2;2;2;3;1;-;2;1;4;2;1;1;2;1;3;2;2;-;1;4;4;2;-;-;4;2;1;1;-;-;2;3;1;2;2;3;2;2;1;4;2;3;2;-;-;3;2;3;1;4;2;1;4;-;-;2;4;2;4;2;4;6;1;3;3;-;-;212
"210510 Icatu";-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;1;-;-;2;1;-;-;1;-;1;-;2;2;-;-;1;-;1;2;-;-;-;1;2;2;1;-;2;1;-;1;3;-;1;-;-;3;2;-;-;1;2;1;-;-;1;-;2;1;-;2;-;2;2;1;1;1;1;1;3;1;2;1;1;2;2;4;1;2;1;4;-;2;4;1;3;3;1;4;1;2;1;4;3;-;-;-;2;2;1;4;-;1;1;3;1;2;-;1;2;1;2;1;5;-;1;-;3;1;-;1;2;1;1;4;4;-;2;1;1;1;2;-;2;1;1;2;2;1;3;6;-;2;3;2;2;1;3;2;8;3;5;5;3;2;2;3;2;-;229
"210515 Igarapé do Meio";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;1;1;2;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;-;1;1;1;1;-;1;-;-;-;-;-;1;1;-;2;-;-;1;-;1;-;-;1;1;-;-;1;3;-;-;-;3;2;2;2;1;2;2;1;2;-;-;1;-;2;-;1;1;1;4;5;2;1;-;2;2;1;1;2;2;2;1;1;4;1;1;1;1;1;-;1;1;4;2;1;3;2;-;2;3;1;-;1;2;3;3;1;2;3;1;2;1;1;1;2;4;4;1;2;4;2;4;1;2;2;-;2;-;2;4;2;7;4;2;2;1;2;1;-;1;2;190
"210520 Igarapé Grande";-;-;-;-;-;-;2;3;-;1;-;2;-;-;1;-;-;-;-;-;1;1;-;2;1;-;1;-;1;5;1;1;-;1;-;1;1;-;-;-;-;1;1;-;-;-;1;2;-;-;-;-;1;-;1;-;-;1;2;-;1;2;4;2;1;-;2;-;3;-;1;1;1;1;1;3;1;1;2;2;-;2;1;-;1;-;-;1;1;-;-;1;-;-;2;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;2;1;-;4;1;-;3;2;-;-;2;2;1;1;-;2;1;3;2;-;2;1;-;-;1;-;-;-;-;1;-;1;-;3;2;1;1;3;5;7;3;-;3;1;1;-;-;144
"210530 Imperatriz";-;5;11;14;22;32;24;42;31;37;34;28;28;24;27;24;27;32;30;36;45;47;34;31;35;42;27;31;33;35;26;15;42;37;20;36;15;27;29;24;24;31;34;30;49;32;32;38;40;37;51;45;53;50;47;53;59;52;60;27;48;52;45;41;40;39;55;57;51;70;61;59;59;60;55;63;46;57;47;48;80;56;56;49;59;49;59;63;68;52;54;49;78;62;64;57;56;65;39;46;49;52;71;64;50;58;72;59;53;67;48;55;56;49;62;55;90;59;51;67;58;62;62;72;81;65;63;70;66;86;69;55;76;45;69;47;61;51;83;73;56;80;65;60;71;62;74;61;51;50;71;81;49;89;127;109;74;110;94;56;65;42;50;23;8368
"210535 Itaipava do Grajaú";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;1;-;-;1;1;-;1;-;-;1;-;-;-;1;1;1;2;2;1;-;1;-;2;1;-;-;2;1;1;2;1;-;-;3;-;1;-;1;1;1;2;3;-;6;2;1;2;1;-;1;1;-;3;-;1;1;-;-;1;2;1;1;3;1;-;1;3;1;3;1;-;2;-;1;2;-;1;1;-;5;-;-;2;-;2;3;1;-;4;1;1;2;2;2;1;2;3;1;2;2;129
"210540 Itapecuru Mirim";-;-;-;-;1;-;1;2;1;1;2;3;1;1;4;2;1;1;5;2;3;1;1;8;2;2;6;1;3;5;4;6;4;3;2;4;4;1;1;5;1;7;5;4;8;1;3;8;3;2;3;2;5;-;3;5;4;5;3;3;1;8;4;5;5;9;4;6;5;3;4;7;5;5;7;7;6;10;9;4;7;8;4;8;2;10;7;6;7;5;6;4;11;12;5;3;8;8;11;4;5;11;13;5;4;6;5;7;7;6;10;7;11;9;15;7;8;6;4;8;7;7;6;8;5;8;5;4;3;8;11;7;5;13;10;5;9;12;8;12;13;9;7;8;4;8;10;4;9;6;11;9;8;2;11;18;9;8;5;10;7;12;11;5;930
"210542 Itinga do Maranhão";-;-;-;-;-;1;3;-;1;2;2;1;-;3;2;1;1;4;1;-;-;-;1;1;2;2;-;3;2;4;1;2;4;-;2;1;-;1;1;2;1;1;-;-;1;-;-;2;2;2;2;1;2;3;3;1;4;4;4;2;3;4;3;1;2;-;2;5;1;2;1;2;3;4;1;3;2;2;1;1;2;3;3;4;3;4;1;5;3;3;2;1;2;5;-;3;3;1;1;4;-;3;1;1;4;5;1;3;1;5;2;2;2;4;4;1;3;2;1;1;2;4;3;1;2;2;3;2;4;2;1;3;5;6;2;3;1;2;1;3;2;3;1;4;5;4;1;2;1;1;1;4;3;5;4;4;7;5;1;3;4;5;1;-;351
"210545 Jatobá";-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;-;1;-;-;1;1;1;1;-;1;1;1;1;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;1;-;1;2;2;1;1;-;-;-;-;1;-;1;2;1;2;-;1;-;2;1;-;2;1;-;-;1;1;1;1;-;-;1;2;-;2;1;-;1;-;1;-;1;2;2;1;-;-;1;-;1;-;7;-;2;1;-;-;3;3;1;2;2;2;-;-;96
"210547 Jenipapo dos Vieiras";-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;1;1;3;1;1;-;1;-;1;-;-;-;-;-;1;-;1;1;1;-;-;1;1;-;3;2;-;-;1;-;-;-;4;1;1;1;3;1;-;3;1;-;1;2;-;-;-;-;1;-;-;-;-;3;-;-;1;-;4;-;-;1;-;1;1;-;2;2;2;-;-;2;-;-;1;-;1;3;1;1;1;1;-;1;1;-;1;4;2;-;-;2;-;2;-;-;-;1;-;-;-;1;1;1;-;2;2;5;-;3;-;2;-;3;-;114
"210550 João Lisboa";-;-;4;2;2;2;4;1;3;3;3;2;2;2;1;1;-;1;4;4;8;2;2;2;2;4;1;-;4;4;-;2;1;-;3;1;2;4;1;-;-;2;2;5;3;2;2;2;1;5;2;5;2;-;4;-;4;3;4;2;3;1;2;2;3;3;3;5;3;3;1;5;1;4;6;6;2;4;1;8;7;7;2;1;8;3;-;2;2;2;2;2;6;1;6;4;3;4;10;3;2;-;4;2;10;5;4;3;1;2;11;6;6;5;4;2;1;1;5;3;3;7;2;2;4;3;4;8;4;4;1;2;4;4;2;5;4;8;2;4;5;6;6;3;5;4;3;4;5;3;9;3;8;7;5;6;5;3;4;4;5;3;3;3;541
"210560 Joselândia";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;3;-;3;-;1;-;1;2;2;1;1;-;1;3;2;-;-;-;1;1;-;2;1;1;2;-;3;2;2;-;-;-;-;-;-;1;1;-;1;1;2;1;-;3;-;1;2;4;1;1;2;2;1;1;1;1;2;1;2;2;1;2;4;4;-;2;3;1;1;2;1;-;4;3;4;-;-;1;2;-;-;-;2;2;1;3;2;2;1;1;3;1;1;3;1;-;2;-;-;-;-;4;5;2;4;5;4;2;1;1;-;167
"210565 Junco do Maranhão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;2;-;-;1;1;2;1;-;1;1;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;1;1;-;-;2;-;-;1;-;1;-;-;-;2;-;1;-;-;2;-;-;4;1;-;4;1;4;2;-;2;-;-;-;2;-;-;3;1;1;2;-;1;1;1;2;-;1;1;1;1;1;-;-;-;1;-;1;-;1;1;-;2;-;2;1;1;-;-;-;-;2;1;-;-;2;-;2;1;1;-;2;1;-;-;1;1;-;2;-;-;1;-;-;3;-;-;1;-;2;1;-;-;1;-;1;105
"210570 Lago da Pedra";-;-;-;-;-;2;2;3;1;2;-;3;3;3;1;1;-;-;9;1;8;4;6;6;4;8;5;1;7;1;3;4;4;5;5;-;1;1;2;2;1;7;3;1;-;5;5;2;4;7;7;3;2;7;5;-;4;2;4;2;8;3;1;8;4;3;6;4;1;1;5;4;2;2;7;2;3;1;7;7;3;2;1;1;4;1;4;9;3;3;5;1;9;4;6;-;5;8;1;4;4;7;4;7;13;3;3;5;3;4;10;6;4;1;4;6;11;7;6;6;6;11;4;5;4;8;7;8;5;12;9;11;6;4;5;3;8;9;5;4;7;7;6;4;7;2;4;3;4;5;11;2;4;8;24;14;15;11;6;5;4;4;5;2;744
"210580 Lago do Junco";-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;1;-;1;1;1;1;-;1;-;1;1;1;-;1;-;-;-;-;-;-;-;-;1;2;1;2;-;2;-;1;-;-;1;-;-;-;1;1;-;-;2;-;-;-;-;1;1;1;-;2;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;1;2;-;2;1;-;-;1;-;-;-;1;-;-;-;1;1;2;3;2;3;1;2;1;-;-;1;2;-;1;-;2;1;3;2;-;1;-;1;2;-;1;-;2;2;3;1;-;2;-;1;1;-;-;-;3;3;3;-;1;-;-;1;-;1;107
"210594 Lago dos Rodrigues";-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;2;-;1;1;1;-;2;-;2;1;1;-;3;1;2;1;3;2;-;3;1;-;1;2;2;1;1;1;1;-;2;2;1;1;3;2;2;-;1;1;1;1;3;-;-;2;-;2;-;1;-;1;-;-;-;-;-;-;4;-;-;1;1;-;1;1;2;1;1;2;1;-;1;2;1;-;-;-;1;1;1;1;-;2;-;3;-;2;2;5;1;-;1;4;1;1;-;2;3;-;1;-;3;1;-;2;1;1;2;1;2;1;1;1;5;3;1;2;-;1;1;-;152
"210590 Lago Verde";-;-;-;-;-;1;-;-;1;-;3;-;1;-;-;2;1;2;2;-;1;1;-;-;-;-;-;1;-;-;1;1;1;2;-;-;-;1;-;1;2;-;-;2;-;-;-;1;1;-;-;1;1;1;-;-;-;-;-;2;1;-;-;-;-;1;-;1;3;1;1;1;1;2;-;1;2;-;1;-;1;2;2;2;1;2;-;1;1;-;2;-;1;1;2;-;1;1;1;3;2;-;-;1;-;-;3;3;2;-;2;-;2;2;-;1;-;4;2;1;-;3;3;3;1;1;3;-;1;1;2;3;-;2;2;-;3;1;4;1;1;2;2;4;1;-;3;4;-;1;1;1;3;2;6;2;2;-;2;3;2;3;2;-;180
"210592 Lagoa do Mato";-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;2;-;3;-;-;-;-;1;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;1;3;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;2;-;1;-;2;1;-;2;-;1;-;1;1;1;-;-;-;-;-;-;1;-;2;-;3;-;-;1;-;60
"210596 Lagoa Grande do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;1;1;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;2;-;-;-;1;-;-;1;2;-;-;-;-;2;2;2;1;-;3;-;-;-;1;-;-;-;3;1;2;1;1;1;-;1;1;-;1;1;2;-;-;1;1;1;1;2;1;-;-;-;-;2;1;1;2;1;2;1;1;-;77
