DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150550 Paragominas";-;-;-;-;1;9;11;3;6;5;1;2;1;39
"150553 Parauapebas";-;60;213;368;227;101;30;22;7;6;4;6;7;1051
"150555 Pau D'Arco";-;-;-;3;3;1;-;-;-;-;-;-;-;7
"150565 Placas";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150610 Primavera";-;2;-;1;2;-;-;-;-;-;-;-;-;5
"150613 Redenção";-;34;10;2;2;5;1;1;2;2;6;9;14;88
"150616 Rio Maria";-;18;8;-;-;-;-;-;-;-;-;-;-;26
"150618 Rondon do Pará";-;1;20;16;1;3;1;-;-;-;-;-;-;42
"150620 Salinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150670 Santana do Araguaia";-;2;2;9;4;2;-;-;-;-;1;-;-;20
"150680 Santarém";-;-;-;1;-;-;-;-;-;-;-;-;1;2
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;3;-;-;-;-;3
"150730 São Félix do Xingu";-;9;23;12;1;-;-;-;1;-;-;-;-;46
"150740 São Francisco do Pará";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"150745 São Geraldo do Araguaia";-;72;63;52;16;6;2;-;2;1;-;1;2;217
"150747 São João de Pirabas";-;-;-;-;-;-;4;4;-;-;-;-;-;8
"150775 Sapucaia";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";-;-;-;1;-;4;-;-;-;-;-;2;-;7
"150790 Soure";-;-;-;-;-;-;1;1;13;-;-;-;-;15
"150795 Tailândia";-;2;-;1;-;1;-;-;-;-;-;-;-;4
"150800 Tomé-Açu";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150803 Tracuateua";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150805 Trairão";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150808 Tucumã";-;-;2;1;-;-;-;-;-;-;-;-;-;3
"150810 Tucuruí";-;74;61;9;-;-;-;-;-;-;-;-;1;145
"150812 Ulianópolis";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150820 Vigia";-;-;-;2;1;44;5;13;6;3;3;6;-;83
"150835 Vitória do Xingu";-;1;-;3;3;-;-;-;-;-;-;-;1;8
"150840 Xinguara";-;664;183;-;-;-;-;-;-;1;-;1;7;856
"160010 Amapá";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"160020 Calçoene";-;-;1;2;1;6;2;-;-;-;-;-;-;12
"160021 Cutias";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"160023 Ferreira Gomes";-;10;13;8;1;2;1;-;-;-;-;2;1;38
"160027 Laranjal do Jari";-;4;2;2;4;9;4;-;-;-;1;-;-;26
"160030 Macapá";-;53;60;47;51;29;11;12;14;14;18;13;21;343
"160040 Mazagão";-;-;1;1;-;3;-;-;-;-;-;-;-;5
"160050 Oiapoque";-;40;59;82;22;15;7;-;-;-;3;-;1;229
"160015 Pedra Branca do Amapari";-;15;13;7;3;2;1;-;-;-;-;-;-;41
"160053 Porto Grande";-;-;2;3;1;10;2;3;1;1;1;-;-;24
"160060 Santana";-;11;13;12;9;11;1;-;1;4;-;6;1;69
"160005 Serra do Navio";-;2;-;3;5;12;5;4;2;-;2;1;-;36
"160070 Tartarugalzinho";-;10;11;-;-;-;-;-;-;-;-;-;-;21
"170030 Aguiarnópolis";-;-;2;5;9;17;10;2;-;-;-;-;-;45
"170035 Aliança do Tocantins";-;-;-;2;4;-;-;-;-;-;-;-;-;6
"170100 Ananás";-;-;-;-;-;-;1;2;1;-;-;-;-;4
"170105 Angico";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";-;2;2;1;-;-;1;3;1;1;-;-;1;12
"170130 Aragominas";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170210 Araguaína";-;141;178;279;301;249;53;36;20;12;22;21;22;1334
"170215 Araguanã";-;-;-;-;-;-;-;1;2;-;-;1;-;4
"170220 Araguatins";-;9;16;3;-;-;-;-;-;-;-;-;1;29
"170240 Arraias";-;2;1;9;9;7;6;-;3;2;-;-;2;41
"170255 Augustinópolis";-;6;2;11;-;-;-;-;-;-;-;-;1;20
"170270 Aurora do Tocantins";-;1;14;24;15;1;-;-;-;-;-;-;-;55
"170290 Axixá do Tocantins";-;3;1;-;-;-;-;-;-;-;-;-;-;4
"170300 Babaçulândia";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"170305 Bandeirantes do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"170320 Bernardo Sayão";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170330 Bom Jesus do Tocantins";-;-;-;1;-;-;2;-;-;-;-;1;-;4
"170370 Brejinho de Nazaré";-;1;-;1;-;1;-;-;-;-;-;-;-;3
"170380 Buriti do Tocantins";-;-;4;3;-;-;-;-;-;-;-;-;-;7
"170382 Cachoeirinha";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"170386 Cariri do Tocantins";-;-;-;3;1;-;-;-;1;-;-;1;-;6
"170388 Carmolândia";-;2;-;2;-;-;-;-;-;1;-;-;-;5
"170550 Colinas do Tocantins";-;1;1;-;1;-;-;-;-;-;-;-;-;3
"171670 Colméia";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"170555 Combinado";-;8;1;8;11;3;2;-;-;-;-;-;-;33
"170560 Conceição do Tocantins";-;-;-;1;5;13;4;1;-;-;-;-;-;24
