DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150795 Tailândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"150803 Tracuateua";1;-;-;2;-;-;-;-;-;-;-;-;3
"150805 Trairão";1;1;4;-;-;2;1;-;-;-;-;-;9
"150808 Tucumã";4;2;1;1;-;-;-;-;-;-;1;-;9
"150810 Tucuruí";1;-;-;-;-;-;-;-;-;-;-;-;1
"150815 Uruará";-;27;14;1;-;-;-;-;-;-;-;-;42
"150820 Vigia";2;-;-;-;-;-;-;-;-;-;-;-;2
"150835 Vitória do Xingu";11;40;19;4;4;-;-;4;-;-;-;1;83
"150840 Xinguara";-;1;-;-;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";-;-;2;4;-;-;-;-;-;-;-;-;6
"160030 Macapá";1;5;1;6;-;-;1;-;1;-;-;1;16
"160040 Mazagão";-;-;-;3;-;-;-;-;-;-;-;-;3
"160050 Oiapoque";-;-;1;-;-;-;-;-;-;-;-;-;1
"160053 Porto Grande";-;1;-;-;-;-;-;-;-;-;-;-;1
"160060 Santana";1;-;-;-;-;-;-;-;-;-;-;-;1
"170030 Aguiarnópolis";-;-;1;-;-;1;-;-;-;-;-;-;2
"170035 Aliança do Tocantins";3;-;-;-;-;-;-;-;-;-;-;1;4
"170070 Alvorada";-;-;1;-;2;1;1;-;-;-;-;-;5
"170100 Ananás";-;-;1;-;-;-;-;-;-;-;-;-;1
"170110 Aparecida do Rio Negro";1;1;-;-;1;-;-;-;-;-;-;-;3
"170130 Aragominas";2;1;1;-;-;-;-;-;-;-;-;-;4
"170190 Araguacema";-;-;-;1;1;-;-;-;-;-;-;-;2
"170200 Araguaçu";-;-;1;-;-;-;1;1;2;1;-;1;7
"170210 Araguaína";50;109;72;38;23;17;12;5;3;2;3;8;342
"170215 Araguanã";1;-;-;-;-;-;-;-;-;-;-;-;1
"170220 Araguatins";-;2;1;1;-;-;-;1;-;-;-;1;6
"170230 Arapoema";6;-;1;-;-;-;-;-;-;-;-;-;7
"170240 Arraias";-;1;2;11;11;3;-;-;2;-;-;-;30
"170255 Augustinópolis";2;-;1;-;-;-;-;-;1;-;-;-;4
"170270 Aurora do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"170290 Axixá do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170300 Babaçulândia";-;1;-;-;1;-;1;-;-;-;-;1;4
"170305 Bandeirantes do Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;1
"170320 Bernardo Sayão";2;-;-;-;-;-;-;-;-;-;-;-;2
"170330 Bom Jesus do Tocantins";-;-;2;-;-;-;-;-;-;-;-;-;2
"170370 Brejinho de Nazaré";3;5;-;-;2;-;-;-;-;-;-;-;10
