DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"150803 Tracuateua";1;-;-;-;-;1
"150808 Tucumã";8;1;-;-;-;9
"150810 Tucuruí";2;-;-;-;-;2
"150815 Uruará";62;-;-;-;-;62
"150820 Vigia";2;-;-;-;-;2
"150835 Vitória do Xingu";4;-;-;-;-;4
"150840 Xinguara";12;-;-;-;-;12
"150000 Município ignorado - PA";1;-;-;-;-;1
"160020 Calçoene";13;2;-;-;-;15
"160027 Laranjal do Jari";502;-;-;-;-;502
"160030 Macapá";284;1;-;-;-;285
"160040 Mazagão";25;-;-;-;-;25
"160050 Oiapoque";17;-;-;-;-;17
"160015 Pedra Branca do Amapari";46;-;-;-;-;46
"160053 Porto Grande";-;1;-;-;-;1
"160060 Santana";15;-;-;-;-;15
"160005 Serra do Navio";1;-;-;-;-;1
"170025 Abreulândia";12;-;-;-;-;12
"170030 Aguiarnópolis";7;-;-;-;-;7
"170100 Ananás";3;-;-;-;-;3
"170105 Angico";1;-;-;-;-;1
"170110 Aparecida do Rio Negro";1;1;-;-;-;2
"170130 Aragominas";4;-;-;-;-;4
"170190 Araguacema";6;-;-;-;-;6
"170200 Araguaçu";332;-;-;-;-;332
"170210 Araguaína";479;-;-;-;2;481
"170215 Araguanã";5;-;-;-;-;5
"170220 Araguatins";13;-;-;-;-;13
"170230 Arapoema";2;-;-;-;-;2
"170240 Arraias";11;-;-;-;-;11
"170255 Augustinópolis";4;-;-;-;-;4
"170300 Babaçulândia";3;-;-;-;-;3
"170305 Bandeirantes do Tocantins";3;-;-;-;-;3
"170310 Barrolândia";9;-;-;-;-;9
"170320 Bernardo Sayão";2;-;-;-;-;2
"170330 Bom Jesus do Tocantins";1;-;-;-;-;1
"170360 Brasilândia do Tocantins";2;-;-;-;-;2
"170382 Cachoeirinha";1;-;-;-;-;1
"170384 Campos Lindos";3;-;-;-;-;3
"170386 Cariri do Tocantins";16;-;-;-;-;16
"170388 Carmolândia";1;-;-;-;-;1
"170460 Chapada de Areia";3;-;-;-;-;3
"170550 Colinas do Tocantins";10;-;-;-;-;10
"171670 Colméia";1;-;-;-;-;1
